platform_project_reference,datacenter_reference,platform_reference_id,platform_guid,platform_type,platform_depth,platform_name,latitude,longitude
NSOG,nep,NSOG015P,nepNSOGNSOG015P,Underwater mooring,320,NSOG015P,49.7206,-124.7058
NSOG,nep,NSOG016,nepNSOGNSOG016,Underwater mooring,320,NSOG016,49.72125,-124.73538
NSOG,nep,NSOG016P,nepNSOGNSOG016P,Underwater mooring,330,NSOG016P,49.7195,-124.7161
NSOG,nep,NSOG017,nepNSOGNSOG017,Underwater mooring,320,NSOG017,49.71993,-124.74693
NSOG,nep,NSOG017P,nepNSOGNSOG017P,Underwater mooring,320,NSOG017P,49.7182,-124.7262
NSOG,nep,NSOG018,nepNSOGNSOG018,Underwater mooring,280,NSOG018,49.71627,-124.75738
NSOG,nep,NSOG018P,nepNSOGNSOG018P,Underwater mooring,300,NSOG018P,49.717,-124.7361
NSOG,nep,NSOG019,nepNSOGNSOG019,Underwater mooring,250,NSOG019,49.71562,-124.76942
NSOG,nep,NSOG019P,nepNSOGNSOG019P,Underwater mooring,280,NSOG019P,49.7158,-124.7461
NSOG,nep,NSOG020,nepNSOGNSOG020,Underwater mooring,220,NSOG020,49.71443,-124.78151
NSOG,nep,NSOG020P,nepNSOGNSOG020P,Underwater mooring,250,NSOG020P,49.7145,-124.7563
NSOG,nep,NSOG021,nepNSOGNSOG021,Underwater mooring,180,NSOG021,49.71349,-124.79378
NSOG,nep,NSOG021P,nepNSOGNSOG021P,Underwater mooring,250,NSOG021P,49.7132,-124.7663
NSOG,nep,NSOG022,nepNSOGNSOG022,Underwater mooring,140,NSOG022,49.71307,-124.80595
NSOG,nep,NSOG022P,nepNSOGNSOG022P,Underwater mooring,220,NSOG022P,49.7122,-124.7762
NSOG,nep,NSOG023,nepNSOGNSOG023,Underwater mooring,110,NSOG023,49.71315,-124.81812
NSOG,nep,NSOG023P,nepNSOGNSOG023P,Underwater mooring,160,NSOG023P,49.7108,-124.7864
NSOG,nep,NSOG024,nepNSOGNSOG024,Underwater mooring,80,NSOG024,49.7135,-124.83009
NSOG,nep,NSOG024P,nepNSOGNSOG024P,Underwater mooring,130,NSOG024P,49.7096,-124.7964
NSOG,nep,NSOG025,nepNSOGNSOG025,Underwater mooring,27,NSOG025,49.71363,-124.84222
NSOG,nep,NSOG025P,nepNSOGNSOG025P,Underwater mooring,110,NSOG025P,49.7085,-124.8064
NSOG,nep,NSOG026,nepNSOGNSOG026,Underwater mooring,4,NSOG026,49.7135,-124.8515
NSOG,nep,NSOG026P,nepNSOGNSOG026P,Underwater mooring,80,NSOG026P,49.7071,-124.8166
NSOG,nep,NSOG027,nepNSOGNSOG027,Underwater mooring,6.4,NSOG027,49.7073,-124.844
NSOG,nep,NSOG027P,nepNSOGNSOG027P,Underwater mooring,50,NSOG027P,49.706,-124.8267
NSOG,nep,NSOG028P,nepNSOGNSOG028P,Underwater mooring,10,NSOG028P,49.7047,-124.8367
NSOG,nep,NSOG029P,nepNSOGNSOG029P,Underwater mooring,6,NSOG029P,49.7035,-124.8468
NSOG,nep,NSOG-ST01,nepNSOGNSOG-ST01,Underwater mooring,355,NSOG-ST01,49.72777,-124.67864
NSOG,nep,NSOG-ST02,nepNSOGNSOG-ST02,Underwater mooring,355,NSOG-ST02,49.72817,-124.67475
OSS,nep,HOLE_E,nepOSSHOLE_E,Underwater mooring,104,HOLE_E,50.32798,-125.14357
OSS,nep,HOLE_W,nepOSSHOLE_W,Underwater mooring,97,HOLE_W,50.32541,-125.15466
OSS,nep,HOS_N_01,nepOSSHOS_N_01,Underwater mooring,73,HOS_N_01,50.19221,-125.12694
OSS,nep,HOS_N_02,nepOSSHOS_N_02,Underwater mooring,125,HOS_N_02,50.19213,-125.1319
OSS,nep,HOS_N_03,nepOSSHOS_N_03,Underwater mooring,108,HOS_N_03,50.19217,-125.13651
OSS,nep,HOS_S_01,nepOSSHOS_S_01,Underwater mooring,118,HOS_S_01,50.18334,-125.13124
OSS,nep,HOS_S_02,nepOSSHOS_S_02,Underwater mooring,111,HOS_S_02,50.18317,-125.137
OSS,nep,HOS_S_03,nepOSSHOS_S_03,Underwater mooring,83,HOS_S_03,50.18339,-125.14288
OSS,nep,OKI_E_01,nepOSSOKI_E_01,Underwater mooring,121,OKI_E_01,50.30543,-125.2955
OSS,nep,OKI_E_02,nepOSSOKI_E_02,Underwater mooring,123,OKI_E_02,50.30794,-125.29624
OSS,nep,OKI_E_03,nepOSSOKI_E_03,Underwater mooring,59,OKI_E_03,50.3105,-125.29758
OSS,nep,OKI_VENTURE,nepOSSOKI_VENTURE,Underwater mooring,73,OKI_VENTURE,50.30066,-125.338
OSS,nep,OKI_W_01,nepOSSOKI_W_01,Underwater mooring,109,OKI_W_01,50.28755,-125.34607
OSS,nep,OKI_W_02,nepOSSOKI_W_02,Underwater mooring,121,OKI_W_02,50.28958,-125.34624
OSS,nep,OKI_W_03,nepOSSOKI_W_03,Underwater mooring,62,OKI_W_03,50.29152,-125.34682
OSS,nep,WHTRK,nepOSSWHTRK,Underwater mooring,87,WHTRK,50.26936,-125.08534
PGS,nep,C11B,nepPGSC11B,Underwater mooring,89.6,C11B,43.755,-124.27
PGS,nep,C13B,nepPGSC13B,Underwater mooring,98.8,C13B,43.755,-124.2901
PGS,nep,C15B,nepPGSC15B,Underwater mooring,102.4,C15B,43.755,-124.3098
PGS,nep,C17B,nepPGSC17B,Underwater mooring,106.1,C17B,43.755,-124.3298
PGS,nep,C1B,nepPGSC1B,Underwater mooring,14.4,C1B,43.755,-124.1974
PGS,nep,C3B,nepPGSC3B,Underwater mooring,29.8,C3B,43.755,-124.2111
PGS,nep,C5TB,nepPGSC5TB,Underwater mooring,49.4,C5TB,43.755,-124.2305
PGS,nep,C8B,nepPGSC8B,Underwater mooring,64,C8B,43.755,-124.2404
PGS,nep,C9TB,nepPGSC9TB,Underwater mooring,76.1,C9TB,43.755,-124.2505
PGS,nep,N1B,nepPGSN1B,Underwater mooring,23.2,N1B,43.78,-124.1969
PGS,nep,N3B,nepPGSN3B,Underwater mooring,45.7,N3B,43.78,-124.217
PGS,nep,N5TB,nepPGSN5TB,Underwater mooring,69.1,N5TB,43.78,-124.2369
PGS,nep,N7B,nepPGSN7B,Underwater mooring,84.1,N7B,43.78,-124.2571
PGS,nep,N9TB,nepPGSN9TB,Underwater mooring,95.1,N9TB,43.78,-124.2772
PGS,nep,PGS001,nepPGSPGS001,Underwater mooring,20.1,PGS001,43.77141,-124.19607
PGS,nep,PGS002,nepPGSPGS002,Underwater mooring,22.9,PGS002,43.77157,-124.1985
PGS,nep,PGS004,nepPGSPGS004,Underwater mooring,34.7,PGS004,43.77229,-124.20841
PGS,nep,PGS005,nepPGSPGS005,Underwater mooring,36.6,PGS005,43.77247,-124.21093
PGS,nep,PGS006,nepPGSPGS006,Underwater mooring,62.2,PGS006,43.77399,-124.23189
PGS,nep,PGS008,nepPGSPGS008,Underwater mooring,75,PGS008,43.77486,-124.24415
PGS,nep,PGS009,nepPGSPGS009,Underwater mooring,106.1,PGS009,43.77977,-124.31742
PGS,nep,PGS010,nepPGSPGS010,Underwater mooring,106.1,PGS010,43.77993,-124.31985
PGS,nep,PGS012,nepPGSPGS012,Underwater mooring,107,PGS012,43.78061,-124.32968
PGS,nep,PGS013,nepPGSPGS013,Underwater mooring,107.9,PGS013,43.7807,-124.33215
PGS,nep,PGS-C1,nepPGSPGS-C1,Underwater mooring,16.5,PGS-C1,43.75543,-124.19737
PGS,nep,PGS-C10,nepPGSPGS-C10,Underwater mooring,86,PGS-C10,43.75355,-124.26162
PGS,nep,PGS-C11,nepPGSPGS-C11,Underwater mooring,91.4,PGS-C11,43.76135,-124.26995
PGS,nep,PGS-C12,nepPGSPGS-C12,Underwater mooring,95.8,PGS-C12,43.7549,-124.2813
PGS,nep,PGS-C13,nepPGSPGS-C13,Underwater mooring,99.1,PGS-C13,43.76292,-124.29008
PGS,nep,PGS-C14,nepPGSPGS-C14,Underwater mooring,100.6,PGS-C14,43.7563,-124.30105
PGS,nep,PGS-C15,nepPGSPGS-C15,Underwater mooring,102.4,PGS-C15,43.76428,-124.30975
PGS,nep,PGS-C16T,nepPGSPGS-C16T,Underwater mooring,104.2,PGS-C16T,43.75782,-124.32102
PGS,nep,PGS-C17,nepPGSPGS-C17,Underwater mooring,105.2,PGS-C17,43.76577,-124.32983
PGS,nep,PGS-C2T,nepPGSPGS-C2T,Underwater mooring,21,PGS-C2T,43.7492,-124.20172
PGS,nep,PGS-C3,nepPGSPGS-C3,Underwater mooring,33.8,PGS-C3,43.75713,-124.21113
PGS,nep,PGS-C4,nepPGSPGS-C4,Underwater mooring,42.2,PGS-C4,43.75068,-124.22173
PGS,nep,PGS-C5T,nepPGSPGS-C5T,Underwater mooring,54.1,PGS-C5T,43.75463,-124.23045
PGS,nep,PGS-C6,nepPGSPGS-C6,Underwater mooring,60.4,PGS-C6,43.75892,-124.23502
PGS,nep,PGS-C7,nepPGSPGS-C7,Underwater mooring,60.7,PGS-C7,43.7513,-124.2365
PGS,nep,PGS-C8,nepPGSPGS-C8,Underwater mooring,66.6,PGS-C8,43.75563,-124.2404
PGS,nep,PGS-C9T,nepPGSPGS-C9T,Underwater mooring,78.5,PGS-C9T,43.75998,-124.25045
PGS,nep,PGS-N1,nepPGSPGS-N1,Underwater mooring,21.9,PGS-N1,43.7714,-124.19687
PGS,nep,PGS-N10,nepPGSPGS-N10,Underwater mooring,101.5,PGS-N10,43.7852,-124.2865
PGS,nep,PGS-N2,nepPGSPGS-N2,Underwater mooring,34.7,PGS-N2,43.77952,-124.20663
PGS,nep,PGS-N3,nepPGSPGS-N3,Underwater mooring,45.4,PGS-N3,43.77303,-124.217
PGS,nep,PGS-N4T,nepPGSPGS-N4T,Underwater mooring,58.5,PGS-N4T,43.78092,-124.22575
PGS,nep,PGS-N5,nepPGSPGS-N5,Underwater mooring,70.04304,PGS-N5,43.77437,-124.23692
PGS,nep,PGS-N6,nepPGSPGS-N6,Underwater mooring,80.5,PGS-N6,43.78238,-124.24598
PGS,nep,PGS-N7,nepPGSPGS-N7,Underwater mooring,87.8,PGS-N7,43.77567,-124.25707
PGS,nep,PGS-N8,nepPGSPGS-N8,Underwater mooring,94.2,PGS-N8,43.78378,-124.26608
PGS,nep,PGS-N9T,nepPGSPGS-N9T,Underwater mooring,97.8,PGS-N9T,43.77713,-124.27717
PGS,nep,PGS-NA1,nepPGSPGS-NA1,Underwater mooring,60.4,PGS-NA1,43.79167,-124.22638
PGS,nep,PGS-NA2,nepPGSPGS-NA2,Underwater mooring,77.5,PGS-NA2,43.79302,-124.24242
PGS,nep,PGS-P1,nepPGSPGS-P1,Underwater mooring,21.9,PGS-P1,43.67518,-124.231
PGS,nep,PGS-P2,nepPGSPGS-P2,Underwater mooring,23.8,PGS-P2,43.65673,-124.23232
PGS,nep,PGS-S1,nepPGSPGS-S1,Underwater mooring,18.7,PGS-S1,43.72628,-124.20775
PGS,nep,PGS-S10,nepPGSPGS-S10,Underwater mooring,100.6,PGS-S10,43.74012,-124.29582
PGS,nep,PGS-S2,nepPGSPGS-S2,Underwater mooring,30,PGS-S2,43.7341,-124.2167167
PGS,nep,PGS-S3,nepPGSPGS-S3,Underwater mooring,40.8,PGS-S3,43.7278,-124.22773
PGS,nep,PGS-S4,nepPGSPGS-S4,Underwater mooring,53.9,PGS-S4,43.73567,-124.23652
PGS,nep,PGS-S5,nepPGSPGS-S5,Underwater mooring,67.1,PGS-S5,43.72925,-124.24762
PGS,nep,PGS-S6,nepPGSPGS-S6,Underwater mooring,79.7,PGS-S6,43.73713,-124.25638
PGS,nep,PGS-S7,nepPGSPGS-S7,Underwater mooring,87.8,PGS-S7,43.7308,-124.2674833
PGS,nep,PGS-S8,nepPGSPGS-S8,Underwater mooring,91.4,PGS-S8,43.73875,-124.27617
PGS,nep,PGS-S9,nepPGSPGS-S9,Underwater mooring,96.7,PGS-S9,43.7322,-124.28733
PGS,nep,PGS-SA1,nepPGSPGS-SA1,Underwater mooring,46.3,PGS-SA1,43.71833,-124.2363
PGS,nep,PGS-SA2,nepPGSPGS-SA2,Underwater mooring,69.7,PGS-SA2,43.71873,-124.25193
PGS,nep,PGS-ST003,nepPGSPGS-ST003,Underwater mooring,17,PGS-ST003,43.7721,-124.20589
PGS,nep,PGS-ST007,nepPGSPGS-ST007,Underwater mooring,37,PGS-ST007,43.77433,-124.23676
PGS,nep,PGS-ST011,nepPGSPGS-ST011,Underwater mooring,58,PGS-ST011,43.78011,-124.32233
PGS,nep,S1B,nepPGSS1B,Underwater mooring,18.8,S1B,43.73,-124.2078
PGS,nep,S3B,nepPGSS3B,Underwater mooring,39.9,S3B,43.73,-124.2277
PGS,nep,S5B,nepPGSS5B,Underwater mooring,65.8,S5B,43.73,-124.2476
PGS,nep,S7B,nepPGSS7B,Underwater mooring,86,S7B,43.73,-124.2675
PGS,nep,S9B,nepPGSS9B,Underwater mooring,95.8,S9B,43.73,-124.2873
POSS,nep,POSSESSION001,nepPOSSPOSSESSION001,Underwater mooring,18,POSSESSION001,47.92601,-122.31253
POSS,nep,POSSESSION002,nepPOSSPOSSESSION002,Underwater mooring,146,POSSESSION002,47.92733,-122.31752
POSS,nep,POSSESSION003,nepPOSSPOSSESSION003,Underwater mooring,176,POSSESSION003,47.92874,-122.32209
POSS,nep,POSSESSION004,nepPOSSPOSSESSION004,Underwater mooring,179,POSSESSION004,47.92962,-122.32722
POSS,nep,POSSESSION005,nepPOSSPOSSESSION005,Underwater mooring,179,POSSESSION005,47.93119,-122.33204
POSS,nep,POSSESSION006,nepPOSSPOSSESSION006,Underwater mooring,179,POSSESSION006,47.93255,-122.33682
POSS,nep,POSSESSION007,nepPOSSPOSSESSION007,Underwater mooring,179,POSSESSION007,47.93387,-122.34193
POSS,nep,POSSESSION008,nepPOSSPOSSESSION008,Underwater mooring,174,POSSESSION008,47.93503,-122.34608
POSS,nep,POSSESSION009,nepPOSSPOSSESSION009,Underwater mooring,146,POSSESSION009,47.93665,-122.35103
POSS,nep,POSSESSION010,nepPOSSPOSSESSION010,Underwater mooring,49,POSSESSION010,47.93755,-122.35623
PSL,nep,PSL-MK-VMT-EJ011,nepPSLPSL-MK-VMT-EJ011,Underwater mooring,Null,PSL-MK-VMT-EJ011,45.64428,-121.94063
PSL,nep,PSL-MK-VMT-EJ034,nepPSLPSL-MK-VMT-EJ034,Underwater mooring,Null,PSL-MK-VMT-EJ034,45.64428,-121.94063
PSL,nep,PSL-MK-VMT-EJ035,nepPSLPSL-MK-VMT-EJ035,Underwater mooring,Null,PSL-MK-VMT-EJ035,45.64428,-121.94063
PSL,nep,PSL-MK-VMT-ZC207,nepPSLPSL-MK-VMT-ZC207,Underwater mooring,Null,PSL-MK-VMT-ZC207,46.196,-123.803
PSL,nep,PSL-MK-VMT-ZCC021,nepPSLPSL-MK-VMT-ZCC021,Underwater mooring,Null,PSL-MK-VMT-ZCC021,45.64428,-121.94063
PSL,nep,PSL-MK-VMT-ZCC022,nepPSLPSL-MK-VMT-ZCC022,Underwater mooring,Null,PSL-MK-VMT-ZCC022,45.64428,-121.94063
PSL,nep,PSL-MK-VMT-ZCC023,nepPSLPSL-MK-VMT-ZCC023,Underwater mooring,Null,PSL-MK-VMT-ZCC023,45.64428,-121.94063
PSL,nep,PSL-MK-VMT-ZCU65,nepPSLPSL-MK-VMT-ZCU65,Underwater mooring,Null,PSL-MK-VMT-ZCU65,45.64428,-121.94063
PSL,nep,PSL-ST01,nepPSLPSL-ST01,Underwater mooring,Null,PSL-ST01,45.5863,-122.1194
PSL,nep,PSL-ST02,nepPSLPSL-ST02,Underwater mooring,Null,PSL-ST02,45.5863,-122.1224
PSL,nep,PSL-ST03,nepPSLPSL-ST03,Underwater mooring,Null,PSL-ST03,45.5851,-122.1271
PSL,nep,PSL-ST04,nepPSLPSL-ST04,Underwater mooring,Null,PSL-ST04,45.5851,-122.1303
PSL,nep,PSL-ST05,nepPSLPSL-ST05,Underwater mooring,Null,PSL-ST05,45.5679,-122.1934
PSL,nep,PSL-ST06,nepPSLPSL-ST06,Underwater mooring,Null,PSL-ST06,45.5909,-122.1092
PSL,nep,PSL-ST07,nepPSLPSL-ST07,Underwater mooring,Null,PSL-ST07,46.197,-123.8005
PSL,nep,PSL-ST08,nepPSLPSL-ST08,Underwater mooring,Null,PSL-ST08,46.1953,-123.805
PSS2,nep,600 m downstream of fence,nepPSS2600 m downstream of fence,Underwater mooring,Null,600 m downstream of fence,51.6306,-124.1386
PSS2,nep,Chilko Fence (collection and release site),nepPSS2Chilko Fence (collection and release site),Underwater mooring,Null,Chilko Fence (collection and release site),51.6262,-124.1427
PSS2,nep,ChilkoF,nepPSS2ChilkoF,Underwater mooring,1,ChilkoF,51.63,-124.1389
PSS2,nep,ChilkoN,nepPSS2ChilkoN,Underwater mooring,1,ChilkoN,51.6302,-124.139
PSS2,nep,D01,nepPSS2D01,Underwater mooring,Null,D01,51.6394,-124.1149
PSS2,nep,D02,nepPSS2D02,Underwater mooring,Null,D02,51.6538,-124.1078
PSS2,nep,D03,nepPSS2D03,Underwater mooring,Null,D03,51.6697,-124.1048
PSS2,nep,D04,nepPSS2D04,Underwater mooring,Null,D04,51.6782,-124.1087
PSS2,nep,D05,nepPSS2D05,Underwater mooring,Null,D05,51.6874,-124.1082
PSS2,nep,Farwell Canyon,nepPSS2Farwell Canyon,Underwater mooring,Null,Farwell Canyon,51.8264,-122.5618
PSS2,nep,FarwellD,nepPSS2FarwellD,Underwater mooring,1,FarwellD,51.8293,-122.5734
PSS2,nep,FarwellDown,nepPSS2FarwellDown,Underwater mooring,Null,FarwellDown,51.8264,-122.5618
PSS2,nep,FARWELL-RKm498_1,nepPSS2FARWELL-RKm498_1,Underwater mooring,Null,FARWELL-RKm498_1,51.8263,-122.56134
PSS2,nep,FARWELL-RKm498_2,nepPSS2FARWELL-RKm498_2,Underwater mooring,Null,FARWELL-RKm498_2,51.8264,-122.56171
PSS2,nep,FarwellU,nepPSS2FarwellU,Underwater mooring,1,FarwellU,51.8291,-122.5738
PSS2,nep,FarwellUp,nepPSS2FarwellUp,Underwater mooring,Null,FarwellUp,51.8265,-122.5622
PSS2,nep,Fence,nepPSS2Fence,Underwater mooring,1,Fence,51.6256,-124.1423
PSS2,nep,FRASER BUOY-RKm14_2,nepPSS2FRASER BUOY-RKm14_2,Underwater mooring,Null,FRASER BUOY-RKm14_2,49.14859,-123.03868
PSS2,nep,HB01,nepPSS2HB01,Underwater mooring,0.6,HB01,51.71612,-124.10625
PSS2,nep,HB03,nepPSS2HB03,Underwater mooring,0.9,HB03,51.71605,-124.10631
PSS2,nep,HB05,nepPSS2HB05,Underwater mooring,1.2,HB05,51.71586,-124.10642
PSS2,nep,HB07,nepPSS2HB07,Underwater mooring,1.2,HB07,51.71559,-124.10626
PSS2,nep,HB09,nepPSS2HB09,Underwater mooring,0.8,HB09,51.71572,-124.10609
PSS2,nep,HB11,nepPSS2HB11,Underwater mooring,0.6,HB11,51.71591,-124.10596
PSS2,nep,HB13,nepPSS2HB13,Underwater mooring,0.6,HB13,51.71495,-124.10691
PSS2,nep,HB15,nepPSS2HB15,Underwater mooring,0.8,HB15,51.71501,-124.1068
PSS2,nep,HB17,nepPSS2HB17,Underwater mooring,0.6,HB17,51.71502,-124.10722
PSS2,nep,HB19,nepPSS2HB19,Underwater mooring,0.6,HB19,51.71505,-124.1073
PSS2,nep,HB21,nepPSS2HB21,Underwater mooring,0.8,HB21,51.71502,-124.10712
PSS2,nep,Henrys,nepPSS2Henrys,Underwater mooring,1,Henrys,51.7158,-124.1062
PSS2,nep,Henry's Bridge,nepPSS2Henry's Bridge,Underwater mooring,Null,Henry's Bridge,51.7158,-124.1066
PSS2,nep,HENRYS_BRIDGE-RKm662_1,nepPSS2HENRYS_BRIDGE-RKm662_1,Underwater mooring,Null,HENRYS_BRIDGE-RKm662_1,51.71572,-124.10645
PSS2,nep,HENRYS_BRIDGE-RKm662_2,nepPSS2HENRYS_BRIDGE-RKm662_2,Underwater mooring,Null,HENRYS_BRIDGE-RKm662_2,51.71568,-124.10628
PSS2,nep,HENRYS_BRIDGE-RKm662_3,nepPSS2HENRYS_BRIDGE-RKm662_3,Underwater mooring,Null,HENRYS_BRIDGE-RKm662_3,51.71517,-124.10693
PSS2,nep,HenrysFar,nepPSS2HenrysFar,Underwater mooring,Null,HenrysFar,51.7158,-124.1061
PSS2,nep,HenrysNear,nepPSS2HenrysNear,Underwater mooring,Null,HenrysNear,51.7158,-124.1065
PSS2,nep,Lodge,nepPSS2Lodge,Underwater mooring,Null,Lodge,51.6991,-124.1033
PSS2,nep,Lodge PIT,nepPSS2Lodge PIT,Underwater mooring,Null,Lodge PIT,51.6967,-124.1029
PSS2,nep,LodgeD,nepPSS2LodgeD,Underwater mooring,1,LodgeD,51.6991,-124.1034
PSS2,nep,LodgeU,nepPSS2LodgeU,Underwater mooring,1,LodgeU,51.6984,-124.1033
PSS2,nep,Lower Fraser - South Arm (Area locally known as Dump Bar),nepPSS2Lower Fraser - South Arm (Area locally known as Dump Bar),Underwater mooring,Null,Lower Fraser - South Arm (Area locally known as Dump Bar),49.136,-122.9087
PSS2,nep,Lower Fraser - South Arm (Off Tilbury Island),nepPSS2Lower Fraser - South Arm (Off Tilbury Island),Underwater mooring,Null,Lower Fraser - South Arm (Off Tilbury Island),49.0855,-123.0109
PSS2,nep,OPP BUOY-RKm15_1,nepPSS2OPP BUOY-RKm15_1,Underwater mooring,Null,OPP BUOY-RKm15_1,49.1483,-123.02166
PSS2,nep,PSS2-001-2015,nepPSS2PSS2-001-2015,Underwater mooring,Null,PSS2-001-2015,49.3409,-123.002
PSS2,nep,PSS2-002-2015,nepPSS2PSS2-002-2015,Underwater mooring,Null,PSS2-002-2015,49.3324,-123.0047
PSS2,nep,PSS2-003-2015,nepPSS2PSS2-003-2015,Underwater mooring,Null,PSS2-003-2015,49.3031,-123.025
PSS2,nep,PSS2-004-2015,nepPSS2PSS2-004-2015,Underwater mooring,Null,PSS2-004-2015,49.3019,-123.0249
PSS2,nep,PSS2-HB_01,nepPSS2PSS2-HB_01,Underwater mooring,Null,PSS2-HB_01,51.7155,-124.1063
PSS2,nep,PSS2-HB_02,nepPSS2PSS2-HB_02,Underwater mooring,Null,PSS2-HB_02,51.7152,-124.1068
PSS2,nep,PSS2-HB_03,nepPSS2PSS2-HB_03,Underwater mooring,Null,PSS2-HB_03,51.7157,-124.1066
PSS2,nep,PSS2-HB_04,nepPSS2PSS2-HB_04,Underwater mooring,Null,PSS2-HB_04,51.7152,-124.1071
PSS2,nep,PSS2-RP_01,nepPSS2PSS2-RP_01,Underwater mooring,Null,PSS2-RP_01,51.6263,-124.1421
PSS2,nep,PSS2-RP_02,nepPSS2PSS2-RP_02,Underwater mooring,Null,PSS2-RP_02,51.6267,-124.1425
PSS2,nep,PSS2-RP_03,nepPSS2PSS2-RP_03,Underwater mooring,Null,PSS2-RP_03,51.6266,-124.1415
PSS2,nep,PSS2-SW_01,nepPSS2PSS2-SW_01,Underwater mooring,Null,PSS2-SW_01,52.0665,-123.5536
PSS2,nep,PSS2-SW_02,nepPSS2PSS2-SW_02,Underwater mooring,Null,PSS2-SW_02,52.0665,-123.5542
PSS2,nep,RELEASE-RKm676_1,nepPSS2RELEASE-RKm676_1,Underwater mooring,Null,RELEASE-RKm676_1,51.6298,-124.13904
PSS2,nep,RELEASE-RKm676_2,nepPSS2RELEASE-RKm676_2,Underwater mooring,Null,RELEASE-RKm676_2,51.62999,-124.13952
PSS2,nep,RELEASE-RKm676_3,nepPSS2RELEASE-RKm676_3,Underwater mooring,Null,RELEASE-RKm676_3,51.63013,-124.13904
PSS2,nep,RP01,nepPSS2RP01,Underwater mooring,0.9,RP01,51.62622,-124.14235
PSS2,nep,RP03,nepPSS2RP03,Underwater mooring,0.8,RP03,51.62673,-124.14235
PSS2,nep,Siwash Bridge,nepPSS2Siwash Bridge,Underwater mooring,Null,Siwash Bridge,52.0664,-123.5538
PSS2,nep,SIWASH_BRIDGE-RKm596_1,nepPSS2SIWASH_BRIDGE-RKm596_1,Underwater mooring,Null,SIWASH_BRIDGE-RKm596_1,52.06659,-123.55384
PSS2,nep,SIWASH_BRIDGE-RKm596_2,nepPSS2SIWASH_BRIDGE-RKm596_2,Underwater mooring,Null,SIWASH_BRIDGE-RKm596_2,52.06658,-123.55379
PSS2,nep,Siwash1,nepPSS2Siwash1,Underwater mooring,Null,Siwash1,52.0665,-124.554
PSS2,nep,Siwash2,nepPSS2Siwash2,Underwater mooring,Null,Siwash2,52.0666,-124.5537
PSS2,nep,SiwashD,nepPSS2SiwashD,Underwater mooring,1,SiwashD,52.0665,-123.5538
PSS2,nep,SiwashU,nepPSS2SiwashU,Underwater mooring,1,SiwashU,52.0665,-123.5538
PSS2,nep,ST-Ref1,nepPSS2ST-Ref1,Underwater mooring,Null,ST-Ref1,51.6139,-124.1509
PSS2,nep,ST-Ref2,nepPSS2ST-Ref2,Underwater mooring,Null,ST-Ref2,51.6234,-124.1428
PSS2,nep,ST-Ref3,nepPSS2ST-Ref3,Underwater mooring,Null,ST-Ref3,51.6213,-124.1445
PSS2,nep,ST-Ref4,nepPSS2ST-Ref4,Underwater mooring,Null,ST-Ref4,51.6183,-124.1481
PSS2,nep,ST-Ref5,nepPSS2ST-Ref5,Underwater mooring,Null,ST-Ref5,51.6261,-124.1422
PSS2,nep,ST-Ref6,nepPSS2ST-Ref6,Underwater mooring,Null,ST-Ref6,51.6163,-124.146
PSS2,nep,SW01,nepPSS2SW01,Underwater mooring,1.5,SW01,51.06647,-123.55368
PSS2,nep,SW03,nepPSS2SW03,Underwater mooring,3.4,SW03,52.0666,-123.55409
PSS2,nep,VPS-R00,nepPSS2VPS-R00,Underwater mooring,Null,VPS-R00,51.6224,-124.1431
PSS2,nep,VPS-R01,nepPSS2VPS-R01,Underwater mooring,Null,VPS-R01,51.6254,-124.1423
PSS2,nep,VPS-R02,nepPSS2VPS-R02,Underwater mooring,Null,VPS-R02,51.6248,-124.143
PSS2,nep,VPS-R03,nepPSS2VPS-R03,Underwater mooring,Null,VPS-R03,51.6246,-124.142
PSS2,nep,VPS-R04,nepPSS2VPS-R04,Underwater mooring,Null,VPS-R04,51.6242,-124.1432
PSS2,nep,VPS-R05,nepPSS2VPS-R05,Underwater mooring,Null,VPS-R05,51.6236,-124.1424
PSS2,nep,VPS-R06,nepPSS2VPS-R06,Underwater mooring,Null,VPS-R06,51.6232,-124.143
PSS2,nep,VPS-R07,nepPSS2VPS-R07,Underwater mooring,Null,VPS-R07,51.6228,-124.1418
PSS2,nep,VPS-R08,nepPSS2VPS-R08,Underwater mooring,Null,VPS-R08,51.6222,-124.1422
PSS2,nep,VPS-R09,nepPSS2VPS-R09,Underwater mooring,Null,VPS-R09,51.6216,-124.1447
PSS2,nep,VPS-R10,nepPSS2VPS-R10,Underwater mooring,Null,VPS-R10,51.6214,-124.1433
PSS2,nep,VPS-R11,nepPSS2VPS-R11,Underwater mooring,Null,VPS-R11,51.6212,-124.1459
PSS2,nep,VPS-R12,nepPSS2VPS-R12,Underwater mooring,Null,VPS-R12,51.6207,-124.1451
PSS2,nep,VPS-R13,nepPSS2VPS-R13,Underwater mooring,Null,VPS-R13,51.6205,-124.147
PSS2,nep,VPS-R14,nepPSS2VPS-R14,Underwater mooring,Null,VPS-R14,51.6199,-124.1458
PSS2,nep,VPS-R15,nepPSS2VPS-R15,Underwater mooring,Null,VPS-R15,51.6195,-124.1475
PSS2,nep,VPS-R16,nepPSS2VPS-R16,Underwater mooring,Null,VPS-R16,51.619,-124.1467
PSS2,nep,VPS-R17,nepPSS2VPS-R17,Underwater mooring,Null,VPS-R17,51.6188,-124.1487
